SENSOR ID,DATE TIME,VALUE STANDARDIZED
101,2020-07-01 00:02:00,-19.44
102,2020-07-01 00:02:00,-17.66
103,2020-07-01 00:02:00,-16.11
104,2020-07-01 00:02:00,-18.44
109,2020-07-01 00:02:00,-17.44
105,2020-07-01 00:02:00,-17.00
106,2020-07-01 00:02:00,-18.88
107,2020-07-01 00:02:00,-17.77
108,2020-07-01 00:02:00,-17.11
110,2020-07-01 00:02:00,-16.11
111,2020-07-01 00:02:00,-17.44
112,2020-07-01 00:02:00,-19.55
113,2020-07-01 00:02:00,-18.77
114,2020-07-01 00:02:00,99.99
115,2020-07-01 00:02:00,-18.66
116,2020-07-01 00:02:00,-17.77
117,2020-07-01 00:02:00,-17.11
118,2020-07-01 00:02:00,99.99
101,2020-07-01 00:04:13,-18.55
102,2020-07-01 00:04:13,-16.33
103,2020-07-01 00:04:13,-16.88
104,2020-07-01 00:04:13,-17.44
107,2020-07-01 00:04:13,-17.88
106,2020-07-01 00:04:13,-17.44
108,2020-07-01 00:04:13,-17.66
109,2020-07-01 00:04:13,-16.33
110,2020-07-01 00:04:13,-16.99
105,2020-07-01 00:04:13,-17.77
113,2020-07-01 00:04:13,-17.55
112,2020-07-01 00:04:13,-18.55
111,2020-07-01 00:04:13,-16.00
116,2020-07-01 00:04:13,-16.66
117,2020-07-01 00:04:13,-17.66
114,2020-07-01 00:04:13,99.99
115,2020-07-01 00:04:13,-17.44
118,2020-07-01 00:04:13,-17.00
101,2020-07-01 00:07:55,-18.99
102,2020-07-01 00:07:55,-16.33
103,2020-07-01 00:07:55,-16.66
104,2020-07-01 00:07:55,-17.77
109,2020-07-01 00:07:55,-16.11
105,2020-07-01 00:07:55,-17.88
106,2020-07-01 00:07:55,-17.22
107,2020-07-01 00:07:55,-17.99
108,2020-07-01 00:07:55,-17.66
110,2020-07-01 00:07:55,-16.66
111,2020-07-01 00:07:55,-16.00
112,2020-07-01 00:07:55,-18.44
114,2020-07-01 00:07:55,99.99
115,2020-07-01 00:07:55,-17.44
116,2020-07-01 00:07:55,-16.33
117,2020-07-01 00:07:55,-17.66
118,2020-07-01 00:07:55,-17.33
113,2020-07-01 00:07:55,-17.55
